,zpid,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,city_austin,city_del valle,city_driftwood,city_dripping springs,city_manchaca,city_manor,city_pflugerville,city_road,city_west lake hills,homeType_Apartment,homeType_Condo,homeType_Mobile / Manufactured,homeType_MultiFamily,homeType_Multiple Occupancy,homeType_Other,homeType_Residential,homeType_Single Family,homeType_Townhouse,homeType_Vacant Land
0,111373431,78660,30.43063163757324,-97.66307830810548,1.98,2,1,1,1,1,0,0,2,2012,305000.0,5,2019-09-02,9,2019,39,0,5,2,1,3,0,1,0,6011.0,2601.0,1,0,1,1,1.2666666666666668,2.6666666666666665,1063,14,3.0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,120900430,78660,30.43267250061035,-97.66169738769533,1.98,2,1,1,1,1,0,0,2,2013,295000.0,1,2020-10-13,10,2020,29,0,1,2,0,0,0,0,0,6185.0,1768.0,1,0,1,1,1.4,2.6666666666666665,1063,14,2.0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,2084491383,78660,30.409748077392567,-97.6397705078125,1.98,0,1,1,0,1,0,0,0,2018,256125.0,1,2019-07-31,7,2019,2,0,4,1,0,1,0,0,0,7840.0,1478.0,0,2,1,1,1.2,3.0,1108,14,2.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,120901374,78660,30.432111740112305,-97.66165924072266,1.98,2,1,1,1,1,0,0,2,2013,240000.0,4,2018-08-08,8,2018,9,0,0,2,0,0,0,0,0,6098.0,1678.0,1,0,1,1,1.4,2.6666666666666665,1063,14,2.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,60134862,78660,30.437368392944336,-97.6568603515625,1.98,0,1,1,0,1,0,0,0,2002,239900.0,3,2018-10-31,10,2018,27,0,0,1,0,0,0,0,0,6708.0,2132.0,1,0,1,1,1.1333333333333335,4.0,1223,14,3.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,2080105342,78660,30.437774658203125,-97.65618133544922,1.98,2,1,1,1,1,0,0,2,2020,309045.0,2,2020-08-05,8,2020,2,0,3,1,2,2,0,0,0,5161.0,1446.0,1,0,1,1,1.0666666666666669,4.0,1223,14,2.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,241932337,78660,30.414684295654297,-97.64339447021484,1.98,0,1,0,0,0,0,0,0,2016,315000.0,2,2020-06-11,6,2020,36,0,3,1,0,0,0,0,0,12196.8,2432.0,1,0,1,1,1.2333333333333334,3.6666666666666665,1051,12,3.0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,60134835,78660,30.43940353393555,-97.65803527832033,1.98,0,1,1,0,1,0,0,0,2002,219900.0,2,2018-10-10,10,2018,21,0,3,1,0,0,0,0,0,5140.0,1422.0,1,0,1,1,1.1666666666666667,4.0,1223,14,3.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,60134833,78660,30.439096450805664,-97.657958984375,1.98,0,1,1,0,1,0,0,0,2002,225000.0,1,2019-09-19,9,2019,16,0,2,1,1,1,0,0,0,3811.0,1870.0,1,0,1,1,1.1666666666666667,4.0,1223,14,2.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,83827468,78617,30.160701751708984,-97.63812255859376,1.98,2,1,1,1,1,0,0,2,2013,194800.0,1,2018-09-11,9,2018,23,0,3,2,0,0,0,0,0,5183.0,1422.0,1,0,1,1,1.2,3.0,1615,14,3.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
