,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,yearBuilt,latest_saledate,latest_salemonth,latest_saleyear
1,120900430,295000.0,2.0,1768.0,4,2.6666666666666665,1,14,1,-97.66169738769533,1,1.4,30.43267250061035,6185.0,29,1,78660,1.98,2013,2020-10-13,10,2020
5,2080105342,309045.0,2.0,1446.0,3,4.0,1,14,1,-97.65618133544922,1,1.0666666666666669,30.437774658203125,5161.0,2,2,78660,1.98,2020,2020-08-05,8,2020
6,241932337,315000.0,3.0,2432.0,4,3.6666666666666665,2,12,1,-97.64339447021484,1,1.2333333333333334,30.414684295654297,12196.8,36,2,78660,1.98,2016,2020-06-11,6,2020
10,241932327,279900.0,2.0,1580.0,3,3.6666666666666665,1,12,1,-97.6432876586914,1,1.2,30.414934158325195,5401.0,32,2,78660,1.98,2016,2020-08-28,8,2020
12,69808966,239900.0,2.0,1762.0,4,3.333333333333333,1,14,1,-97.6234359741211,1,0.6333333333333333,30.167768478393555,6011.0,28,9,78617,1.98,2005,2020-09-05,9,2020
14,83813460,131679.0,3.0,1655.0,3,3.0,2,14,1,-97.6362762451172,1,1.2333333333333334,30.15972137451172,10846.0,54,5,78617,1.98,2010,2020-08-18,8,2020
15,29470450,200000.0,2.0,1228.0,3,3.0,1,14,1,-97.64641571044922,1,1.4666666666666668,30.15768814086914,6621.0,25,1,78617,1.98,2000,2020-06-02,6,2020
19,70344594,199000.0,2.0,1511.0,3,2.6666666666666665,1,13,1,-97.57695770263672,1,2.4333333333333336,30.25570678710937,7448.0,21,3,78724,1.98,2006,2020-12-22,12,2020
20,185217484,400000.0,2.0,2228.0,3,8.333333333333334,1,16,1,-97.7978744506836,1,1.9,30.49563789367676,7666.0,20,2,78717,2.21,2008,2020-01-10,1,2020
21,121719682,699000.0,4.0,4020.0,4,7.666666666666668,2,14,1,-97.79174041748048,1,3.266666666666667,30.490257263183604,10890.0,36,1,78717,2.21,2015,2020-12-07,12,2020
24,29462564,240000.0,3.0,1534.0,3,3.0,1,13,1,-97.58731842041016,1,1.8,30.233154296875,5183.0,10,2,78725,1.98,1999,2020-12-31,12,2020
25,70355992,249900.0,2.0,1738.0,3,3.0,1,13,1,-97.57801818847656,1,1.9666666666666668,30.23806571960449,7405.0,35,1,78725,1.98,2013,2020-12-04,12,2020
26,89659978,400000.0,3.0,2630.0,5,8.333333333333334,2,16,1,-97.79308319091795,1,2.0333333333333337,30.492189407348643,12196.8,21,2,78717,2.21,2010,2020-04-22,4,2020
28,70333917,875000.0,4.0,3402.0,4,7.0,2,16,1,-97.85929107666016,1,2.066666666666667,30.426456451416016,30056.4,38,2,78726,1.98,2004,2020-11-09,11,2020
29,29471292,164995.0,2.0,2350.0,3,3.333333333333333,1,14,1,-97.71691131591795,1,4.766666666666667,30.10340118408203,102366.0,29,4,78747,1.98,1970,2020-10-27,10,2020
31,116080975,650000.0,4.0,3047.0,4,7.666666666666668,1,14,1,-97.79379272460938,1,3.3000000000000003,30.488996505737305,8363.0,1,1,78717,2.21,2013,2020-03-25,3,2020
39,29376494,427000.0,3.0,2484.0,4,8.0,2,15,1,-97.82464599609376,1,1.2333333333333332,30.44289970397949,10890.0,8,5,78726,1.98,1988,2020-03-04,3,2020
43,29366911,3395000.0,5.0,4747.0,5,7.0,1,16,1,-97.90070343017578,1,4.166666666666667,30.41670608520508,86684.4,56,9,78732,1.98,1992,2020-07-10,7,2020
44,145657963,399900.0,3.0,2629.0,3,3.6666666666666665,1,12,1,-97.72125244140624,1,3.1333333333333333,30.16147994995117,8537.0,40,1,78744,1.98,2015,2020-06-26,6,2020
45,29370494,648000.0,3.0,2567.0,4,9.0,2,16,1,-97.79273223876952,1,1.1666666666666667,30.42639350891113,11325.6,50,6,78750,1.98,1991,2020-11-30,11,2020
47,125901465,219000.0,2.0,1267.0,3,3.0,1,13,1,-97.58043670654295,1,1.9,30.23823547363281,4617.0,28,1,78725,1.98,2015,2020-04-03,4,2020
49,96639474,405000.0,2.0,2142.0,3,6.0,1,14,1,-97.78580474853516,1,2.3000000000000003,30.4632568359375,5619.0,28,1,78729,2.21,2011,2020-02-18,2,2020
55,241932962,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6977310180664,1,2.9,30.17613220214844,6141.0,67,4,78744,1.98,2016,2020-08-18,8,2020
56,64729016,250000.0,2.0,2736.0,4,3.333333333333333,1,14,1,-97.69129943847656,1,4.833333333333333,30.10301971435547,64468.8,31,1,78719,1.98,1982,2020-08-13,8,2020
57,70355962,198500.0,2.0,1807.0,4,3.0,1,13,1,-97.58032989501952,1,1.8666666666666665,30.23895072937012,5749.0,27,4,78725,1.98,2006,2020-04-13,4,2020
58,29376490,485000.0,3.0,2956.0,5,8.0,1,15,1,-97.82511138916016,1,1.2333333333333334,30.442228317260746,8624.0,60,1,78726,1.98,1990,2020-10-30,10,2020
59,29366907,5495000.0,8.0,8800.0,5,7.0,3,16,1,-97.90081787109376,1,4.166666666666667,30.41809463500977,24829.2,43,5,78732,1.98,1996,2020-10-28,10,2020
60,250825472,440000.0,3.0,2595.0,5,8.333333333333334,2,16,1,-97.79917907714844,1,2.1,30.49202919006348,5536.0,31,1,78717,2.21,2016,2020-05-15,5,2020
68,241932948,275000.0,2.0,1449.0,3,3.6666666666666665,1,12,1,-97.69738006591795,1,2.9,30.17658805847168,5488.0,40,1,78744,1.98,2016,2020-02-10,2,2020
70,2081704483,268729.0,2.0,1514.0,3,3.0,1,13,1,-97.63460540771484,1,3.1333333333333333,30.22005844116211,4800.0,1,5,78725,1.98,2020,2020-06-29,6,2020
72,29376480,435000.0,3.0,3113.0,4,8.0,2,15,1,-97.8240737915039,1,1.2,30.443117141723643,8973.0,65,7,78726,1.98,1989,2020-07-24,7,2020
76,29370900,519500.0,4.0,3055.0,4,7.0,2,16,1,-97.86306762695312,1,2.1,30.42306327819824,7666.0,67,3,78726,1.98,2000,2020-11-04,11,2020
79,29459947,209900.0,2.0,1419.0,3,3.0,1,13,1,-97.58552551269533,1,1.6666666666666667,30.24313545227051,5558.0,23,1,78725,1.98,1987,2020-03-03,3,2020
80,241932936,375000.0,5.0,2682.0,7,3.6666666666666665,2,12,1,-97.69666290283205,1,2.9,30.17849540710449,6969.0,78,2,78744,1.98,2016,2020-08-31,8,2020
81,89550803,229900.0,3.0,1936.0,4,3.0,2,13,1,-97.63555145263672,1,3.2000000000000006,30.21564483642578,4573.0,32,1,78725,1.98,2014,2020-06-29,6,2020
88,80115957,350000.0,3.0,1791.0,3,8.333333333333334,2,16,1,-97.79090881347656,1,1.6333333333333335,30.500444412231445,5140.0,27,2,78717,2.21,2006,2020-08-26,8,2020
93,29370884,425000.0,3.0,2864.0,5,7.0,1,16,1,-97.8606414794922,1,2.066666666666667,30.425716400146484,9670.0,120,3,78726,1.98,2002,2020-09-01,9,2020
95,29372475,684000.0,3.0,2656.0,4,9.0,2,16,1,-97.79425048828124,1,1.2,30.42850685119629,10454.0,55,3,78750,1.98,1988,2020-10-05,10,2020
96,185218453,359965.0,3.0,1975.0,4,8.333333333333334,2,16,1,-97.7860107421875,1,2.0,30.493675231933604,5140.0,40,1,78717,2.21,2002,2020-07-15,7,2020
101,29360984,795000.0,3.0,2700.0,4,7.0,2,17,1,-97.78955841064452,1,2.5,30.38071632385254,15245.999999999998,37,2,78750,1.98,1989,2020-07-10,7,2020
