,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
0,111373431,305000.0,3.0,2601.0,4,2.66666666666667,2,14,1,-97.6630783081055,1,1.26666666666667,30.4306316375732,6011.0,39,5,78660,1.98,2019-09-02,9,2019,285695.416666667
1,120900430,295000.0,2.0,1768.0,4,2.66666666666667,1,14,1,-97.6616973876953,1,1.4,30.4326725006104,6185.0,29,1,78660,1.98,2020-10-13,10,2020,303125.25
2,2084491383,256125.0,2.0,1478.0,3,3.0,1,14,1,-97.6397705078125,0,1.2,30.4097480773926,7840.0,2,1,78660,1.98,2019-07-31,7,2019,285695.416666667
3,120901374,240000.0,2.0,1678.0,3,2.66666666666667,1,14,1,-97.6616592407227,1,1.4,30.4321117401123,6098.0,9,4,78660,1.98,2018-08-08,8,2018,250109.625
4,60134862,239900.0,3.0,2132.0,3,4.0,2,14,1,-97.6568603515625,1,1.13333333333333,30.4373683929443,6708.0,27,3,78660,1.98,2018-10-31,10,2018,250109.625
5,2080105342,309045.0,2.0,1446.0,3,4.0,1,14,1,-97.6561813354492,1,1.06666666666667,30.4377746582031,5161.0,2,2,78660,1.98,2020-08-05,8,2020,303125.25
6,241932337,315000.0,3.0,2432.0,4,3.66666666666667,2,12,1,-97.6433944702148,1,1.23333333333333,30.4146842956543,12196.8,36,2,78660,1.98,2020-06-11,6,2020,303125.25
7,60134835,219900.0,3.0,1422.0,3,4.0,2,14,1,-97.6580352783203,1,1.16666666666667,30.4394035339356,5140.0,21,2,78660,1.98,2018-10-10,10,2018,250109.625
8,60134833,225000.0,2.0,1870.0,3,4.0,2,14,1,-97.657958984375,1,1.16666666666667,30.4390964508057,3811.0,16,1,78660,1.98,2019-09-19,9,2019,285695.416666667
9,83827468,194800.0,3.0,1422.0,3,3.0,2,14,1,-97.6381225585938,1,1.2,30.160701751709,5183.0,23,1,78617,1.98,2018-09-11,9,2018,193990.482758621
10,241932327,279900.0,2.0,1580.0,3,3.66666666666667,1,12,1,-97.6432876586914,1,1.2,30.4149341583252,5401.0,32,2,78660,1.98,2020-08-28,8,2020,303125.25
11,241930967,250000.0,3.0,2281.0,3,3.0,2,14,1,-97.6333541870117,1,1.2,30.1593379974365,4965.0,37,1,78617,1.98,2019-04-12,4,2019,200321.181818182
12,69808966,239900.0,2.0,1762.0,4,3.33333333333333,1,14,1,-97.6234359741211,1,0.633333333333333,30.1677684783936,6011.0,28,9,78617,1.98,2020-09-05,9,2020,198750.391304348
