,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
0,120901374,240000.0,2.0,1678.0,3,2.66666666666667,1,14,1,-97.6616592407227,1,78660,1.98,2018-08-08,8,2018,250109.625
1,60134862,239900.0,3.0,2132.0,3,4.0,2,14,1,-97.6568603515625,1,78660,1.98,2018-10-31,10,2018,250109.625
2,60134835,219900.0,3.0,1422.0,3,4.0,2,14,1,-97.6580352783203,1,78660,1.98,2018-10-10,10,2018,250109.625
3,83827468,194800.0,3.0,1422.0,3,3.0,2,14,1,-97.6381225585938,1,78617,1.98,2018-09-11,9,2018,193990.482758621
4,64520966,200000.0,2.0,1326.0,3,3.0,1,14,1,-97.6505813598633,1,78617,1.98,2018-12-15,12,2018,193990.482758621
5,116080992,687850.0,6.0,4564.0,5,7.66666666666667,2,14,1,-97.7947235107422,1,78717,2.21,2018-08-28,8,2018,407792.52173913
6,88013985,409000.0,4.0,3233.0,5,8.33333333333333,2,16,1,-97.796516418457,1,78717,2.21,2018-12-03,12,2018,407792.52173913
7,116080981,549900.0,5.0,3494.0,4,7.66666666666667,2,14,1,-97.7948989868164,1,78717,2.21,2018-03-13,3,2018,407792.52173913
8,70355990,200000.0,2.0,1652.0,3,3.0,1,13,1,-97.5783309936523,1,78725,1.98,2018-01-30,1,2018,200953.288461538
9,83821490,239999.0,2.0,1264.0,3,3.33333333333333,1,14,1,-97.6997909545898,1,78747,1.98,2018-08-23,8,2018,282410.939130435
10,29366912,4250000.0,7.0,7284.0,7,7.0,2,16,1,-97.9005584716797,1,78732,1.98,2018-08-15,8,2018,701210.957219251
11,241932964,309999.0,3.0,1907.0,3,3.66666666666667,2,12,1,-97.6981582641602,1,78744,1.98,2018-03-26,3,2018,235868.018691589
12,69808963,205000.0,3.0,2088.0,4,3.0,1,13,1,-97.5905227661133,1,78725,1.98,2018-01-25,1,2018,200953.288461538
13,121656950,300000.0,3.0,2100.0,4,3.66666666666667,1,12,1,-97.7049026489258,1,78747,1.98,2018-11-30,11,2018,282410.939130435
14,89548844,186500.0,2.0,1420.0,3,3.0,1,13,1,-97.6372833251953,1,78725,1.98,2018-02-01,2,2018,200953.288461538
15,63228462,179900.0,2.0,1194.0,3,3.0,1,13,1,-97.5900726318359,1,78725,1.98,2018-03-22,3,2018,200953.288461538
16,64674953,207900.0,2.0,1929.0,3,3.0,1,13,1,-97.5873565673828,1,78725,1.98,2018-07-04,7,2018,200953.288461538
17,70333905,975000.0,4.0,3450.0,4,7.0,1,16,1,-97.8576889038086,1,78726,1.98,2018-01-31,1,2018,483669.983333333
18,241932946,285000.0,3.0,1973.0,3,3.66666666666667,2,12,1,-97.696533203125,1,78744,1.98,2018-12-21,12,2018,235868.018691589
19,110538990,450000.0,3.0,2283.0,4,7.0,2,16,1,-97.826904296875,1,78750,1.98,2018-08-16,8,2018,546095.760416667
20,29372980,463700.0,3.0,3115.0,4,8.0,2,15,1,-97.8270034790039,1,78726,1.98,2018-10-02,10,2018,483669.983333333
21,29370898,549900.0,4.0,3794.0,4,7.0,2,16,1,-97.8644104003906,1,78726,1.98,2018-08-24,8,2018,483669.983333333
22,111373282,287500.0,3.0,2314.0,5,2.66666666666667,1,14,1,-97.6620407104492,1,78660,1.98,2018-06-30,6,2018,250109.625
23,241932935,325000.0,3.0,2068.0,4,3.66666666666667,2,12,1,-97.6968231201172,1,78744,1.98,2018-09-12,9,2018,235868.018691589
24,29370894,574900.0,4.0,3338.0,4,7.0,2,16,1,-97.8633499145508,1,78726,1.98,2018-03-01,3,2018,483669.983333333
25,29392994,120000.0,2.0,1745.0,4,3.66666666666667,1,14,1,-97.661735534668,1,78725,1.98,2018-06-25,6,2018,200953.288461538
26,111371253,225000.0,2.0,1375.0,3,2.66666666666667,1,14,1,-97.6622161865234,1,78660,1.98,2018-10-12,10,2018,250109.625
27,2088245915,388990.0,3.0,2502.0,4,3.66666666666667,1,12,1,-97.715950012207,1,78744,1.98,2018-10-31,10,2018,235868.018691589
28,29373974,435000.0,2.0,2313.0,4,8.66666666666667,1,16,1,-97.785774230957,0,78750,1.98,2018-10-03,10,2018,546095.760416667
29,29376473,368500.0,2.0,2267.0,4,8.0,1,15,1,-97.8227691650391,1,78726,1.98,2018-03-27,3,2018,483669.983333333
30,116080950,622800.0,3.0,2903.0,3,7.66666666666667,1,14,1,-97.7927703857422,1,78717,2.21,2018-12-31,12,2018,407792.52173913
31,63835425,180000.0,2.0,1326.0,3,2.66666666666667,1,13,1,-97.5805206298828,1,78724,1.98,2018-10-31,10,2018,254167.573529412
32,29375972,415000.0,3.0,2234.0,3,8.66666666666667,1,16,1,-97.7947387695312,0,78750,1.98,2018-03-27,3,2018,546095.760416667
33,29396983,175000.0,2.0,1315.0,3,3.66666666666667,1,11,2,-97.6452255249023,1,78724,1.98,2018-12-11,12,2018,254167.573529412
34,116080940,536170.0,4.0,3415.0,5,7.66666666666667,2,14,1,-97.7947006225586,1,78717,2.21,2018-08-17,8,2018,407792.52173913
35,29370850,665000.0,4.0,4137.0,5,7.0,2,16,1,-97.8605575561523,1,78726,1.98,2018-11-29,11,2018,483669.983333333
36,29459907,179900.0,2.0,1587.0,4,3.0,1,13,1,-97.584846496582,1,78725,1.98,2018-03-09,3,2018,200953.288461538
37,70341359,185000.0,2.0,1203.0,3,3.0,1,13,1,-97.589714050293,1,78725,1.98,2018-12-07,12,2018,200953.288461538
38,185217435,415000.0,4.0,3257.0,5,8.33333333333333,2,16,1,-97.7974853515625,1,78717,2.21,2018-08-09,8,2018,407792.52173913
39,83823977,249900.0,3.0,1659.0,3,3.66666666666667,2,11,2,-97.6276397705078,1,78724,1.98,2018-06-07,6,2018,254167.573529412
40,29355980,550000.0,2.0,2100.0,3,7.0,1,16,1,-97.8075866699219,1,78730,1.98,2018-01-25,1,2018,937407.232876712
41,29465172,179900.0,2.0,1500.0,3,3.0,1,13,1,-97.6287002563477,1,78725,1.98,2018-06-15,6,2018,200953.288461538
42,29459899,155000.0,2.0,1411.0,3,3.0,1,13,1,-97.5859451293945,1,78725,1.98,2018-02-06,2,2018,200953.288461538
43,185217434,339900.0,2.0,2192.0,3,8.33333333333333,1,16,1,-97.797607421875,1,78717,2.21,2018-05-25,5,2018,407792.52173913
44,63835398,170000.0,2.0,1268.0,3,2.66666666666667,1,13,1,-97.5803146362305,1,78724,1.98,2018-04-20,4,2018,254167.573529412
45,29396970,214500.0,2.0,1306.0,3,3.66666666666667,1,11,2,-97.6476669311523,1,78724,1.98,2018-05-23,5,2018,254167.573529412
46,29438718,275000.0,3.0,2398.0,4,3.0,2,14,1,-97.6495895385742,0,78753,1.98,2018-01-27,1,2018,257188.786764706
47,2132333345,174900.0,3.0,1372.0,3,3.0,1,13,1,-97.5716781616211,1,78725,1.98,2018-03-28,3,2018,200953.288461538
48,121658390,169900.0,3.0,1250.0,2,3.0,2,13,1,-97.5723495483398,1,78725,1.98,2018-07-25,7,2018,200953.288461538
49,89551997,1799000.0,5.0,5449.0,5,8.33333333333333,2,17,1,-97.9140396118164,1,78732,1.98,2018-05-05,5,2018,701210.957219251
50,29353976,993000.0,4.0,3848.0,5,7.0,2,16,1,-97.8360900878906,1,78730,1.98,2018-04-26,4,2018,937407.232876712
51,29459882,199000.0,2.0,1786.0,4,3.0,1,13,1,-97.5851974487305,1,78725,1.98,2018-12-14,12,2018,200953.288461538
52,29366834,240000.0,1.0,596.0,2,7.0,1,16,1,-97.8870239257812,1,78732,1.98,2018-03-20,3,2018,701210.957219251
53,70341343,95000.0,3.0,2088.0,4,3.0,2,13,1,-97.5896835327148,1,78725,1.98,2018-11-20,11,2018,200953.288461538
54,70338381,179900.0,2.0,1206.0,3,2.66666666666667,1,13,1,-97.5790634155273,1,78724,1.98,2018-08-17,8,2018,254167.573529412
55,64533962,66900.0,2.0,1160.0,3,3.66666666666667,1,11,2,-97.6475143432617,1,78724,1.98,2018-07-31,7,2018,254167.573529412
56,29459881,195000.0,3.0,2094.0,4,3.0,2,13,1,-97.5851211547852,1,78725,1.98,2018-09-06,9,2018,200953.288461538
57,96636926,375000.0,2.0,2406.0,3,6.0,1,14,1,-97.787956237793,1,78729,2.21,2018-04-18,4,2018,307014.368932039
58,83820449,769000.0,4.0,4362.0,4,8.66666666666667,2,17,1,-97.9079971313477,1,78732,1.98,2018-02-28,2,2018,701210.957219251
59,243333921,360000.0,2.0,1968.0,3,8.33333333333333,1,16,1,-97.7975769042969,1,78717,2.21,2018-06-29,6,2018,407792.52173913
60,29343949,279900.0,2.0,1848.0,2,8.33333333333333,1,17,1,-97.926139831543,1,78732,1.98,2018-05-11,5,2018,701210.957219251
61,29344952,585000.0,3.0,2647.0,4,8.0,2,14,0,-97.8597106933594,0,78733,1.98,2018-10-20,10,2018,981210.142857143
62,145658835,279000.0,3.0,1914.0,3,3.66666666666667,2,12,1,-97.6942367553711,1,78744,1.98,2018-06-21,6,2018,235868.018691589
63,79981874,205000.0,2.0,1344.0,3,3.0,1,13,1,-97.5787811279297,1,78725,1.98,2018-06-07,6,2018,200953.288461538
64,29343946,150000.0,1.0,704.0,1,8.33333333333333,1,17,1,-97.9264831542969,1,78732,1.98,2018-08-02,8,2018,701210.957219251
65,124154920,599000.0,5.0,3329.0,4,7.66666666666667,2,14,1,-97.7897033691406,1,78717,2.21,2018-08-17,8,2018,407792.52173913
66,145658832,299999.0,3.0,2068.0,4,3.66666666666667,2,12,1,-97.6953048706055,1,78744,1.98,2018-03-16,3,2018,235868.018691589
67,83816428,238999.0,2.0,1670.0,3,3.66666666666667,1,11,2,-97.6302719116211,1,78724,1.98,2018-05-24,5,2018,254167.573529412
68,90240442,379000.0,2.0,1943.0,4,8.33333333333333,1,17,1,-97.9147109985352,1,78732,1.98,2018-07-24,7,2018,701210.957219251
69,120895447,649900.0,4.0,3689.0,4,8.33333333333333,2,17,1,-97.9059295654297,1,78732,1.98,2018-02-15,2,2018,701210.957219251
70,70338371,199000.0,3.0,1704.0,3,2.66666666666667,2,13,1,-97.5786209106445,1,78724,1.98,2018-12-21,12,2018,254167.573529412
71,29459868,157000.0,2.0,1419.0,3,3.0,1,13,1,-97.5872039794922,1,78725,1.98,2018-07-28,7,2018,200953.288461538
72,29341439,1589000.0,4.0,4637.0,4,9.0,2,15,0,-97.8097839355469,0,78746,1.98,2018-11-21,11,2018,1428643.18644068
73,83813736,399000.0,2.0,1649.0,3,7.0,1,16,1,-97.8735656738281,1,78726,1.98,2018-05-09,5,2018,483669.983333333
74,83814922,825000.0,5.0,4631.0,5,8.66666666666667,2,17,1,-97.9089813232422,1,78732,1.98,2018-05-24,5,2018,701210.957219251
75,111370914,239000.0,2.0,1510.0,3,3.66666666666667,1,11,2,-97.6243515014648,1,78724,1.98,2018-01-26,1,2018,254167.573529412
76,29341434,1499000.0,6.0,4707.0,5,9.0,2,15,0,-97.8088912963867,0,78746,1.98,2018-09-21,9,2018,1428643.18644068
77,29368693,2490000.0,4.0,4147.0,4,7.0,1,16,1,-97.8985366821289,1,78732,1.98,2018-10-26,10,2018,701210.957219251
78,29465089,129900.0,2.0,2304.0,4,3.0,1,13,1,-97.6311950683594,1,78725,1.98,2018-03-24,3,2018,200953.288461538
79,58298454,975000.0,4.0,4620.0,5,7.0,2,16,1,-97.8419418334961,1,78730,1.98,2018-03-14,3,2018,937407.232876712
80,70323938,1399900.0,4.0,5742.0,4,8.0,2,14,0,-97.8563690185547,0,78733,1.98,2018-05-05,5,2018,981210.142857143
81,29344936,565000.0,3.0,2648.0,4,8.0,2,14,0,-97.8620834350586,0,78733,1.98,2018-07-03,7,2018,981210.142857143
82,29353950,899900.0,4.0,3958.0,4,7.0,2,16,1,-97.7994537353516,1,78730,1.98,2018-07-14,7,2018,937407.232876712
83,89651406,219900.0,3.0,1730.0,3,8.33333333333333,2,16,1,-97.7929611206055,1,78717,2.21,2018-07-20,7,2018,407792.52173913
84,58265948,400000.0,3.0,3254.0,5,7.66666666666667,1,14,1,-97.8163528442383,1,78750,2.21,2018-03-01,3,2018,546095.760416667
85,89548573,217000.0,3.0,1776.0,5,3.0,2,13,1,-97.6374130249023,1,78725,1.98,2018-06-26,6,2018,200953.288461538
86,83123896,700000.0,4.0,4952.0,4,8.66666666666667,2,17,1,-97.908073425293,1,78732,1.98,2018-07-13,7,2018,701210.957219251
